cluster_id,priority,product_id,expires_at
user1,1231663011292,0_product,1694547292
user1,1231663011292,1_product,1694547292
user1,1231663011292,2_product,1694547292
user1,1231663011292,3_product,1694547292
user1,1231663011292,4_product,1694547292
user1,1231663011292,5_product,1694547292
user1,1231663011292,6_product,1694547292
user1,1231663011292,7_product,1694547292
user1,1231663011292,8_product,1694547292
user1,1231663011292,9_product,1694547292
user1,1231663011292,10_product,1694547292
user1,1231663011292,11_product,1694547292
user1,1231663011292,12_product,1694547292
user1,1231663011292,13_product,1694547292
user1,1231663011292,14_product,1694547292
user1,1231663011292,15_product,1694547292
user1,1231663011292,16_product,1694547292
user1,1231663011292,17_product,1694547292
user1,1231663011292,18_product,1694547292
user1,1231663011292,19_product,1694547292
user1,1231663011292,20_product,1694547292
user1,1231663011292,21_product,1694547292
user1,1231663011292,22_product,1694547292
user1,1231663011292,23_product,1694547292
user1,1231663011292,24_product,1694547292
