cluster_id,priority,product_id
test_cluster_al,123,0_product
test_cluster_al,123,1_product
test_cluster_al,123,2_product
test_cluster_al,123,3_product
test_cluster_al,123,4_product
test_cluster_al,123,5_product
test_cluster_al,123,6_product
test_cluster_al,123,7_product
test_cluster_al,123,8_product
test_cluster_al,123,9_product
test_cluster_al,123,10_product
test_cluster_al,123,11_product
test_cluster_al,123,12_product
test_cluster_al,123,13_product
test_cluster_al,123,14_product
test_cluster_al,123,15_product
test_cluster_al,123,16_product
test_cluster_al,123,17_product
test_cluster_al,123,18_product
test_cluster_al,123,19_product
test_cluster_al,123,20_product
test_cluster_al,123,21_product
test_cluster_al,123,22_product
test_cluster_al,123,23_product
test_cluster_al,123,24_product
test_cluster_al,123,25_product
test_cluster_al,123,26_product
test_cluster_al,123,27_product
test_cluster_al,123,28_product
test_cluster_al,123,29_product
test_cluster_al,123,30_product
test_cluster_al,123,31_product
test_cluster_al,123,32_product
test_cluster_al,123,33_product
test_cluster_al,123,34_product
test_cluster_al,123,35_product
test_cluster_al,123,36_product
test_cluster_al,123,37_product
test_cluster_al,123,38_product
test_cluster_al,123,39_product
test_cluster_al,123,40_product
test_cluster_al,123,41_product
test_cluster_al,123,42_product
test_cluster_al,123,43_product
test_cluster_al,123,44_product
test_cluster_al,123,45_product
test_cluster_al,123,46_product
test_cluster_al,123,47_product
test_cluster_al,123,48_product
test_cluster_al,123,49_product
test_cluster_al,123,50_product
test_cluster_al,123,51_product
test_cluster_al,123,52_product
test_cluster_al,123,53_product
test_cluster_al,123,54_product
test_cluster_al,123,55_product
test_cluster_al,123,56_product
test_cluster_al,123,57_product
test_cluster_al,123,58_product
test_cluster_al,123,59_product
test_cluster_al,123,60_product
test_cluster_al,123,61_product
test_cluster_al,123,62_product
test_cluster_al,123,63_product
test_cluster_al,123,64_product
test_cluster_al,123,65_product
test_cluster_al,123,66_product
test_cluster_al,123,67_product
test_cluster_al,123,68_product
test_cluster_al,123,69_product
test_cluster_al,123,70_product
test_cluster_al,123,71_product
test_cluster_al,123,72_product
test_cluster_al,123,73_product
test_cluster_al,123,74_product
test_cluster_al,123,75_product
test_cluster_al,123,76_product
test_cluster_al,123,77_product
test_cluster_al,123,78_product
test_cluster_al,123,79_product
test_cluster_al,123,80_product
test_cluster_al,123,81_product
test_cluster_al,123,82_product
test_cluster_al,123,83_product
test_cluster_al,123,84_product
test_cluster_al,123,85_product
test_cluster_al,123,86_product
test_cluster_al,123,87_product
test_cluster_al,123,88_product
test_cluster_al,123,89_product
test_cluster_al,123,90_product
test_cluster_al,123,91_product
test_cluster_al,123,92_product
test_cluster_al,123,93_product
test_cluster_al,123,94_product
test_cluster_al,123,95_product
test_cluster_al,123,96_product
test_cluster_al,123,97_product
test_cluster_al,123,98_product
test_cluster_al,123,99_product
test_cluster_al,123,100_product
test_cluster_al,123,101_product
test_cluster_al,123,102_product
test_cluster_al,123,103_product
test_cluster_al,123,104_product
test_cluster_al,123,105_product
test_cluster_al,123,106_product
test_cluster_al,123,107_product
test_cluster_al,123,108_product
test_cluster_al,123,109_product
test_cluster_al,123,110_product
test_cluster_al,123,111_product
test_cluster_al,123,112_product
test_cluster_al,123,113_product
test_cluster_al,123,114_product
test_cluster_al,123,115_product
test_cluster_al,123,116_product
test_cluster_al,123,117_product
test_cluster_al,123,118_product
test_cluster_al,123,119_product
test_cluster_al,123,120_product
test_cluster_al,123,121_product
test_cluster_al,123,122_product
test_cluster_al,123,123_product
test_cluster_al,123,124_product
test_cluster_al,123,125_product
test_cluster_al,123,126_product
test_cluster_al,123,127_product
test_cluster_al,123,128_product
test_cluster_al,123,129_product
test_cluster_al,123,130_product
test_cluster_al,123,131_product
test_cluster_al,123,132_product
test_cluster_al,123,133_product
test_cluster_al,123,134_product
test_cluster_al,123,135_product
test_cluster_al,123,136_product
test_cluster_al,123,137_product
test_cluster_al,123,138_product
test_cluster_al,123,139_product
test_cluster_al,123,140_product
test_cluster_al,123,141_product
test_cluster_al,123,142_product
test_cluster_al,123,143_product
test_cluster_al,123,144_product
test_cluster_al,123,145_product
test_cluster_al,123,146_product
test_cluster_al,123,147_product
test_cluster_al,123,148_product
test_cluster_al,123,149_product
test_cluster_al,123,150_product
test_cluster_al,123,151_product
test_cluster_al,123,152_product
test_cluster_al,123,153_product
test_cluster_al,123,154_product
test_cluster_al,123,155_product
test_cluster_al,123,156_product
test_cluster_al,123,157_product
test_cluster_al,123,158_product
test_cluster_al,123,159_product
test_cluster_al,123,160_product
test_cluster_al,123,161_product
test_cluster_al,123,162_product
test_cluster_al,123,163_product
test_cluster_al,123,164_product
test_cluster_al,123,165_product
test_cluster_al,123,166_product
test_cluster_al,123,167_product
test_cluster_al,123,168_product
test_cluster_al,123,169_product
test_cluster_al,123,170_product
test_cluster_al,123,171_product
test_cluster_al,123,172_product
test_cluster_al,123,173_product
test_cluster_al,123,174_product
test_cluster_al,123,175_product
test_cluster_al,123,176_product
test_cluster_al,123,177_product
test_cluster_al,123,178_product
test_cluster_al,123,179_product
test_cluster_al,123,180_product
test_cluster_al,123,181_product
test_cluster_al,123,182_product
test_cluster_al,123,183_product
test_cluster_al,123,184_product
test_cluster_al,123,185_product
test_cluster_al,123,186_product
test_cluster_al,123,187_product
test_cluster_al,123,188_product
test_cluster_al,123,189_product
test_cluster_al,123,190_product
test_cluster_al,123,191_product
test_cluster_al,123,192_product
test_cluster_al,123,193_product
test_cluster_al,123,194_product
test_cluster_al,123,195_product
test_cluster_al,123,196_product
test_cluster_al,123,197_product
test_cluster_al,123,198_product
test_cluster_al,123,199_product
test_cluster_al,123,200_product
test_cluster_al,123,201_product
test_cluster_al,123,202_product
test_cluster_al,123,203_product
test_cluster_al,123,204_product
test_cluster_al,123,205_product
test_cluster_al,123,206_product
test_cluster_al,123,207_product
test_cluster_al,123,208_product
test_cluster_al,123,209_product
test_cluster_al,123,210_product
test_cluster_al,123,211_product
test_cluster_al,123,212_product
test_cluster_al,123,213_product
test_cluster_al,123,214_product
test_cluster_al,123,215_product
test_cluster_al,123,216_product
test_cluster_al,123,217_product
test_cluster_al,123,218_product
test_cluster_al,123,219_product
test_cluster_al,123,220_product
test_cluster_al,123,221_product
test_cluster_al,123,222_product
test_cluster_al,123,223_product
test_cluster_al,123,224_product
test_cluster_al,123,225_product
test_cluster_al,123,226_product
test_cluster_al,123,227_product
test_cluster_al,123,228_product
test_cluster_al,123,229_product
test_cluster_al,123,230_product
test_cluster_al,123,231_product
test_cluster_al,123,232_product
test_cluster_al,123,233_product
test_cluster_al,123,234_product
test_cluster_al,123,235_product
test_cluster_al,123,236_product
test_cluster_al,123,237_product
test_cluster_al,123,238_product
test_cluster_al,123,239_product
test_cluster_al,123,240_product
test_cluster_al,123,241_product
test_cluster_al,123,242_product
test_cluster_al,123,243_product
test_cluster_al,123,244_product
test_cluster_al,123,245_product
test_cluster_al,123,246_product
test_cluster_al,123,247_product
test_cluster_al,123,248_product
test_cluster_al,123,249_product
test_cluster_al,123,250_product
test_cluster_al,123,251_product
test_cluster_al,123,252_product
test_cluster_al,123,253_product
test_cluster_al,123,254_product
test_cluster_al,123,255_product
test_cluster_al,123,256_product
test_cluster_al,123,257_product
test_cluster_al,123,258_product
test_cluster_al,123,259_product
